,Unnamed: 0.1,Unnamed: 0,branch,product_details,amount,amount_mdl,maturity_months,ir,eir,grace_period,montly_payment,repayment_schedule,guarantees,amount_pledge,ages_of_borrower,social_status,background,urban/rural,type_client_new/repeated,date_disbursement,gender,economic_sector,oustanding_amount,client/credit_segment_retail_micro_sme,experience_in_business_years,other_debts_to_banks_non,annual_sales_volume_mdl,annual_profit_mdl,amount_of_loans_paid_monthly,debt_service_ratio_%,assets_according_to_bs_for,equity_according_to_bs_for,net_profit_acc_to_bs,days_in_arrears_acc_to,how_many_loans_acc_to,duration_of_credit_history_since,existence_of_debt_collection_files/criminal,assets_according_to_public_service,target,Currency,Interest Rate,Inflation Rate,Food Inflation,Consumer Price Index CPI,Balance of Trade,Wages,Unemployment Rate,Remittances,GDP Growth Rate,Current Account,GDP,Government Budget
0,0,0,drochia,rapid_loan_75_001_150000_mdl,60000,60000,24,20.0,34.1928,0.0,3363.61,fixed,guarantor,0.0,66,married,school,rural,new,2019-03-06,female,commerce,0,micro,10.0,30000.0,510000.0,83748,3364,50,,,,0,1.0,45,0,,1,16.9832,16.9832,16.9832,16.9832,16.9832,16.9832,16.9832,16.9832,16.9832,16.9832,16.9832,16.9832,16.9832
1,1,1,balti,rapid_loan_<=75_000_mdl,15000,15000,12,25.0,43.8648,0.0,1511.67,fixed,guarantor,0.0,31,married,school,urban,new,2019-05-08,female,commerce,0,micro,3.0,7958.0,468000.0,116028,3512,0.36,,,,3,1.0,34,0,0.0,1,17.852,17.852,17.852,17.852,17.852,17.852,17.852,17.852,17.852,17.852,17.852,17.852,17.852
2,2,2,balti,rapid_loan_<=75_000_mdl,15000,15000,8,25.0,43.8,0.0,2161.56,fixed,no_collateral,0.0,33,married,school,urban,repeated,2020-08-19,female,commerce,0,micro,4.0,3701.4,468000.0,126125.76,3007.1,0.29,,,,1,1.0,50,0,0.0,1,16.425,16.425,16.425,16.425,16.425,16.425,16.425,16.425,16.425,16.425,16.425,16.425,16.425
3,3,3,ungheni,rapid_loan_75_001_150000_mdl,65000,65000,36,20.0,32.8248,0.0,2760.76,floating,guarantor,0.0,57,married,school,urban,repeated,2023-11-17,male,commerce,55346.49,micro,10.0,149025.0,624000.0,155604,7261,74,,,,4,1.0,1,0,0.0,1,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7
4,4,4,balti,rapid_loan_75_001_150000_mdl,150000,150000,30,28.0,40.2156,0.0,7630.35,floating,guarantor,0.0,41,married,school,rural,new,2023-03-31,male,agriculture,89588.88,small,5.0,0.0,575000.0,159840,6364,0.4778,,,,0,0.0,57,0,0.0,1,11486.2,11486.2,11486.2,11486.2,11486.2,11486.2,11486.2,11486.2,11486.2,11486.2,11486.2,11486.2,11486.2
5,5,5,comrat,rapid_loan_75_001_150000_mdl,70000,70000,24,20.0,34.6308,0.0,3939.78,fixed,guarantor,0.0,45,married,post_secondary,rural,new,2019-01-11,male,other,0,micro,20.0,21112.0,394500.0,257300,7120,33,,,,0,1.0,104,0,0.0,1,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
6,6,6,balti,rapid_loan_75_001_150000_mdl,60000,60000,22,25.0,34.3956,8.0,10718.44,floating,guarantor,0.0,59,married,post_secondary,rural,repeated,2023-01-25,male,agriculture,31497.1,micro,25.0,56000.0,1068216.0,284160,7876,33,489114.0,194854.0,56937.0,0,1.0,26,0,0.0,1,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4
7,7,7,balti,rapid_loan_75_001_150000_mdl,90000,90000,36,23.0,35.8332,0.0,3969.83,floating,guarantor,0.0,44,married,school,rural,repeated,2024-03-11,female,agriculture,85099.27,micro,7.0,2468812.06,2478600.0,766886,116799,0.6463,,,,13,14.0,73,0,2638002.03,1,21.98,21.98,21.98,21.98,21.98,21.98,21.98,21.98,21.98,21.98,21.98,21.98,21.98
8,8,8,cahul,rapid_loan_75_001_150000_mdl,100000,100000,24,20.0,33.5304,3.0,5996.18,fixed,guarantor,0.0,30,married,post_secondary,urban,new,2020-03-11,female,services,0,micro,20.0,321813.0,305061.0,281061,16257,69,,,-68342.0,0,3.0,67,0,0.0,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
9,9,9,balti,rapid_loan_<=75_000_mdl,20000,20000,12,25.0,37.6992,4.0,3130.16,fixed,guarantor,0.0,45,married,school,rural,repeated,2019-11-19,female,agriculture,0,micro,13.0,23557.0,191000.0,114700,4238,0.44,,,,0,1.0,71,0,0.0,1,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19
